group,Sample:,Sex,Baseline,Week1,Week2,Week3,Week4
Naive,MN01,Male,22.6,23.2,23.4,23.8,24.4
Naive,MN02,Male,23.8,24.8,24,24.6,25.6
Naive,MN03,Male,22.4,23,22.4,23.2,23.2
Naive,MN04,Male,24.2,24.6,26.2,26.8,28
Naive,MN05,Male,23,22.8,22.6,23.2,23.2
Naive,MN06,Male,25.6,26,26.4,27,27.4
Naive,MN07,Male,23.4,23.4,23.8,23.4,24
Naive,MN08,Male,23,23.8,24.4,25.2,25.2
Vehicle,MV17,Male,21,20.6,21,21.6,21.2
Vehicle,MV18,Male,24.4,23.8,23.2,24.2,24.4
Vehicle,MV19,Male,22.6,21.6,21.6,22,21.8
Vehicle,MV20,Male,24.6,24.4,24.4,25.2,25
Vehicle,MV21,Male,24.2,24.8,24.8,24.6,24.8
Vehicle,MV22,Male,23,22.2,22.8,22.8,23.2
Vehicle,MV23,Male,20.2,20.4,21.2,21.6,22
Vehicle,MV24,Male,22.8,22.8,23.4,23.6,23.4
PFOS 1.5,MS33,Male,23.2,23.6,24.6,24.8,24.6
PFOS 1.5,MS34,Male,22.2,22.2,22.4,22.8,22.6
PFOS 1.5,MS35,Male,23.6,23.2,23.4,24,23.8
PFOS 1.5,MS36,Male,22.6,22.6,23.4,23.4,23.2
PFOS 1.5,MS37,Male,23.2,22.6,23,23.8,23.6
PFOS 1.5,MS38,Male,24,24.8,23.6,24.6,24
PFOS 1.5,MS39,Male,23.2,23.2,24,24.2,24.2
PFOS 1.5,MS40,Male,25.2,24.2,24.8,25.2,25.2
PFOA 1.5,MA49,Male,22.8,23.2,23.4,23.2,23.6
PFOA 1.5,MA50,Male,22,22.2,22.2,22.4,23
PFOA 1.5,MA51,Male,24.6,25.4,26.2,26.2,26.8
PFOA 1.5,MA52,Male,23,22.4,22.8,23.8,24.4
PFOA 1.5,MA53,Male,24,25,25.4,26.4,26.6
PFOA 1.5,MA54,Male,24,24,25,25.2,25
PFOA 1.5,MA55,Male,25,25.8,25.8,26,26.2
PFOA 1.5,MA56,Male,24,25,25,25.6,26.2
Naive,FN09,Female,20.2,20.2,20.6,20.6,21.4
Naive,FN10,Female,20.8,19.8,20,20.8,21.2
Naive,FN11,Female,18.6,18.6,18.8,19.2,19.8
Naive,FN12,Female,18,18.8,18.8,19.6,20
Naive,FN13,Female,20,21,21.6,22,22.6
Naive,FN14,Female,16.2,16.8,16.4,17.6,18.2
Naive,FN15,Female,20.4,20,20.2,20.4,21.2
Naive,FN16,Female,20.4,20.4,21,21.2,21.4
Vehicle,FV25,Female,20,20.4,20.8,21.2,21.8
Vehicle,FV26,Female,19,19.2,19,19,20
Vehicle,FV27,Female,20,21.2,21.4,21.8,22.2
Vehicle,FV28,Female,18,19.4,19.6,19.4,20.4
Vehicle,FV29,Female,19.8,20,20.6,20.4,20.8
Vehicle,FV30,Female,19,18.4,18.2,18.4,19
Vehicle,FV31,Female,20.6,21.8,21.4,22.8,22
Vehicle,FV32,Female,19.4,19,19.2,20.2,20.6
PFOS 1.5,FS41,Female,20.4,21,21.2,21.6,22
PFOS 1.5,FS42,Female,18.8,18.6,19.6,19.8,19.8
PFOS 1.5,FS43,Female,20.8,19.8,20.8,21.6,21.2
PFOS 1.5,FS44,Female,19,18.8,19.6,19.8,20.6
PFOS 1.5,FS45,Female,20,19.8,20.6,20.4,20.8
PFOS 1.5,FS46,Female,20.2,19.4,19.6,20.6,21.4
PFOS 1.5,FS47,Female,19.4,19.4,20,20.8,21.6
PFOS 1.5,FS48,Female,19.8,19,20,20.4,20.4
PFOA 1.5,FA57,Female,19,19.2,19.8,19.8,20.6
PFOA 1.5,FA58,Female,20,19.6,20.2,19.6,20
PFOA 1.5,FA59,Female,21.8,21.6,21.8,22.6,23.4
PFOA 1.5,FA60,Female,20.8,21.8,22.2,22.8,22.6
PFOA 1.5,FA61,Female,18.4,20,20.6,21,21.2
PFOA 1.5,FA62,Female,20.6,20.4,21.4,21.6,22.8
PFOA 1.5,FA63,Female,19,19,19.8,20,20.6
PFOA 1.5,FA64,Female,19.4,19,20,20.2,21.4
