Group,Mouse ID,Sex,Exposure Period (days),PFAS Type,Dose (mg/kg)*,Whole Liver Weight (g),,Notes,Analysis Batch #,Results file name,Concentration. unit,PFOA,PFOS,PFBA,PFPeA,PFHxA,PFHpA,PFNA,PFDA,PFUdA,PFDoA,PFTrDA,PFTeDA,PFBS,PFPeS,PFHxS,PFHpS,PFNS,PFDS,4_2-FTS,6_2_FTS,8_2-FTS,N-MeFOSAA,N-EtFOSAA,FOSA,,,,,,,,,,,,,,,,,,,,,,,,
Naive,MN01,Male,28,No gavage,,1.13,,,ML-B7,20241210_ML_Batch7_Summary,mg/kg (ppb),0.00081964,0.005606249,0.000165845,<MDL,0.000187672,<MDL,0.001756836,0.001899049,0.002336983,0.000546167,0.000425072,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.000274308,<MDL,0.000341576,<MDL,<MDL,<MDL,<MDL,0.819640046,5.606248835,0.165845474,<MDL,0.187671797,<MDL,1.756836194,1.899048851,2.336982501,0.546167472,0.425072364,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.274308071,<MDL,0.341576069,<MDL,NA,NA,NA
Naive,MN02,Male,28,No gavage,,1.27,,,ML-B7,20241210_ML_Batch7_Summary,mg/kg (ppb),0.062833674,0.004878913,9.32551E-05,<MDL,<MDL,<MDL,0.001396368,0.001768122,0.001791273,0.000375532,0.000321139,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.000305094,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,62.83367445,4.878913106,0.093255092,<MDL,<MDL,<MDL,1.396367654,1.768121581,1.791272891,0.375532411,0.321139163,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.305093957,<MDL,<MDL,<MDL,NA,NA,NA
Naive,MN03,Male,28,No gavage,,1.13,,,ML-B7,20241210_ML_Batch7_Summary,mg/kg (ppb),0.046074827,0.006762636,9.76814E-05,<MDL,<MDL,<MDL,0.001216794,0.001466394,0.001659636,0.000404049,0.000268947,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.000224747,<MDL,0.000361175,<MDL,<MDL,<MDL,<MDL,46.07482667,6.762636242,0.097681434,<MDL,<MDL,<MDL,1.216793565,1.466393803,1.659636227,0.404049463,0.268946974,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.224747389,<MDL,0.361175102,<MDL,NA,NA,NA
Naive,MN04,Male,28,No gavage,,1.36,,,ML-B7,20241210_ML_Batch7_Summary,mg/kg (ppb),0.054202931,0.003590884,8.991E-05,<MDL,0.000145036,<MDL,0.0013027,0.001534849,0.001764591,0.000338671,0.000289374,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.00026921,<MDL,0.000344803,<MDL,<MDL,<MDL,<MDL,54.20293101,3.590884052,0.089909969,<MDL,0.145035729,<MDL,1.302699952,1.534848863,1.764591089,0.33867079,0.289374026,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.269209609,<MDL,0.34480325,<MDL,NA,NA,NA
Naive,MN05,Male,28,No gavage,,1.11,,,ML-B7,20241210_ML_Batch7_Summary,mg/kg (ppb),0.033227299,0.004328425,8.77629E-05,<MDL,<MDL,<MDL,0.001733226,0.001952742,0.002296963,0.000468085,0.000368039,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.000261765,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,33.22729871,4.32842525,0.087762865,<MDL,<MDL,<MDL,1.733226001,1.952742004,2.296963381,0.468084683,0.368038815,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.261765417,<MDL,<MDL,<MDL,NA,NA,NA
Naive,MN06,Male,28,No gavage,,1.429,,,ML-B7,20241210_ML_Batch7_Summary,mg/kg (ppb),0.026322992,0.004511771,8.91724E-05,0.000242708,<MDL,<MDL,0.001401657,0.001666767,0.001856639,0.000403251,0.000318273,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.000298251,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,26.32299199,4.511770655,0.089172357,0.242708393,<MDL,<MDL,1.401657347,1.666767279,1.856638752,0.403250777,0.318273202,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.298250527,<MDL,<MDL,<MDL,NA,NA,NA
Naive,MN07,Male,28,No gavage,,1.13,,,ML-B7,20241210_ML_Batch7_Summary,mg/kg (ppb),0.395817984,0.006516048,6.21387E-05,0.000226046,0.000145832,<MDL,0.001769674,0.002667739,0.002444965,0.000519067,0.000431642,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.000245695,<MDL,0.000493857,<MDL,<MDL,<MDL,<MDL,395.8179844,6.516048052,0.062138743,0.226046115,0.145831898,<MDL,1.769674343,2.667739242,2.444965427,0.519067258,0.43164239,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.24569474,<MDL,0.493856604,<MDL,NA,NA,NA
Naive,MN08,Male,28,No gavage,,1.42,,,ML-B7,20241210_ML_Batch7_Summary,mg/kg (ppb),0.037638632,0.003433795,7.83809E-05,<MDL,<MDL,<MDL,0.00101963,0.001227365,0.001531852,0.000340627,0.000251649,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.000225616,<MDL,0.00031796,<MDL,<MDL,<MDL,<MDL,37.6386317,3.43379474,0.078380924,<MDL,<MDL,<MDL,1.019630454,1.227364512,1.531852381,0.340626911,0.251648501,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.225616068,<MDL,0.317959619,<MDL,NA,NA,NA
Naive,FN09,Female,28,No gavage,,1.082,,,ML-B7,20241210_ML_Batch7_Summary,mg/kg (ppb),<MDL,0.003552642,<MDL,<MDL,<MDL,<MDL,0.00040125,0.000622761,0.000758729,0.000200387,0.000181124,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,3.552641531,<MDL,<MDL,<MDL,<MDL,0.401249596,0.622761398,0.758729215,0.200386532,0.181124007,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,NA,NA,NA
Naive,FN10,Female,28,No gavage,,1.082,,,ML-B7,20241210_ML_Batch7_Summary,mg/kg (ppb),0.032663081,0.002933232,4.52932E-05,<MDL,0.000144083,<MDL,0.000492233,0.000796191,0.000919772,0.000213952,0.000193102,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.000233857,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,32.66308116,2.933231931,0.045293186,<MDL,0.144082713,<MDL,0.4922331,0.796191396,0.919772339,0.213952304,0.193101721,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.233857376,<MDL,<MDL,<MDL,NA,NA,NA
