Group,Mouse ID,Sex,PFOA,PFOS,PFBA,PFPeA,PFHxA,PFHpA,PFNA,PFDA,PFUdA,PFDoA,PFTrDA,PFTeDA,PFBS,PFPeS,PFHxS_T,PFHpS,PFNS,PFDS,4_2-FTS,6_2_FTS,8_2-FTS,N-MeFOSAA,N-EtFOSAA,FOSA
Naive,MN01,Male,0.229944455,2.264051319,1.476897817,<MDL,<MDL,<MDL,0.305496674,0.310547711,0.217594152,<MDL,<MDL,<MDL,0.324223071,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,NA
Naive,MN02,Male,0.479824981,2.481478567,0.827729822,<MDL,<MDL,<MDL,0.204013638,0.211791228,0.15212479,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,NA
Naive,MN03,Male,0.456736725,2.560983974,0.931987498,<MDL,<MDL,<MDL,0.239576168,0.20644208,0.151912807,<MDL,<MDL,<MDL,0.321325455,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,NA
Naive,MN04,Male,<MDL,2.3048754,0.938868062,<MDL,<MDL,<MDL,0.250377361,0.251785832,0.182747255,<MDL,<MDL,<MDL,0.372028106,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,NA
Naive,MN05,Male,<MDL,2.955407874,0.791065288,<MDL,<MDL,<MDL,0.285578115,0.285806351,0.216584206,<MDL,<MDL,<MDL,0.45296038,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,NA
Naive,MN06,Male,0.34573202,2.805944439,0.99983324,<MDL,<MDL,<MDL,0.211124333,0.238909986,0.179902595,<MDL,<MDL,<MDL,0.229301659,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,NA
Naive,MN07,Male,0.278726767,2.643846225,1.009912823,<MDL,<MDL,<MDL,0.243780446,0.267624066,0.187858211,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,NA
Naive,MN08,Male,<MDL,2.840691686,0.820397501,<MDL,<MDL,<MDL,0.181713594,0.207042594,<MDL,<MDL,<MDL,<MDL,0.333841749,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,NA
Naive,FN09,Female,<MDL,1.609302635,0.704540985,<MDL,<MDL,<MDL,0.287828608,0.312163985,0.175393597,<MDL,<MDL,<MDL,0.537976838,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,NA
Naive,FN10,Female,<MDL,2.278815417,0.691459843,<MDL,<MDL,<MDL,0.293572929,0.285362524,0.16729619,<MDL,<MDL,<MDL,0.150026272,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,NA
Naive,FN11,Female,<MDL,1.590997314,0.72494471,<MDL,<MDL,<MDL,0.269230018,0.290004683,0.152902581,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,NA
Naive,FN12,Female,0.255104591,1.541260942,0.524709307,<MDL,<MDL,<MDL,0.277284307,0.254961805,0.180888218,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,NA
Naive,FN13,Female,0.223674641,1.514546476,0.598690455,<MDL,<MDL,<MDL,0.327837194,0.296145666,0.188757713,<MDL,<MDL,<MDL,0.139822061,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,NA
Naive,FN14,Female,<MDL,1.678645477,0.578901091,<MDL,<MDL,<MDL,0.275458376,0.293880707,0.161327314,<MDL,<MDL,<MDL,0.138129589,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,NA
Naive,FN15,Female,<MDL,1.507952,0.6757957,<MDL,<MDL,<MDL,0.224933328,0.212463765,0.128648403,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,NA
Naive,FN16,Female,<MDL,1.328284981,0.577792504,<MDL,<MDL,0.098189916,0.28742121,0.289552297,0.195892224,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,NA
Vehicle,MV17,Male,0.621558515,6.083316749,1.154819309,<MDL,<MDL,<MDL,0.310443008,0.339381094,0.20369283,<MDL,<MDL,<MDL,0.652891026,<MDL,0.239405023,0.22287944,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,NA
