group,Sample:,Sex,Liver,Pancreas,Spleen,Thymus,Kidneys,GI Tract
Naive,MN01,Male,0.0463,0.0046,0.0026,0.0003,0.0101,0.126
Naive,MN02,Male,0.0496,0.0063,0.0026,0.0017,0.0119,0.1267
Naive,MN03,Male,0.0487,0.0044,0.0035,0.0011,0.0131,0.1194
Naive,MN04,Male,0.0486,0.0053,0.0024,0.0016,0.0117,0.1256
Naive,MN05,Male,0.0478,0.0058,0.0023,0.0018,0.0129,0.1095
Naive,MN06,Male,0.0522,0.0062,0.0025,0.0015,0.0117,0.1157
Naive,MN07,Male,0.0471,0.0044,0.0023,0.0019,0.0132,0.1038
Naive,MN08,Male,0.0563,0.0055,0.0024,0.0013,0.0152,0.0926
Vehicle,MV17,Male,0.0435,0.005,0.0024,0.0013,0.0116,0.1115
Vehicle,MV18,Male,0.0504,0.0056,0.0028,0.0022,0.0125,0.1151
Vehicle,MV19,Male,0.051,0.0061,0.0025,0.0015,0.0121,0.124
Vehicle,MV20,Male,0.0494,0.0048,0.0032,0.0016,0.0129,0.107
Vehicle,MV21,Male,0.0446,0.006,0.0025,0.0018,0.0131,0.1234
Vehicle,MV22,Male,0.0493,0.0053,0.0025,0.0015,0.0127,0.1116
Vehicle,MV23,Male,0.0435,0.0047,0.003,0.0016,0.0118,0.1183
Vehicle,MV24,Male,0.0516,0.0061,0.0033,0.0014,0.014,0.1036
PFOS 1.5,MS33,Male,0.0807,0.0048,0.0031,0.0015,0.0133,0.1141
PFOS 1.5,MS34,Male,0.078,0.0057,0.0035,0.0014,0.0123,0.1233
PFOS 1.5,MS35,Male,0.0831,0.005,0.0025,0.0017,0.0132,0.1255
PFOS 1.5,MS36,Male,0.0793,0.0058,0.0024,0.0013,0.0131,0.1219
PFOS 1.5,MS37,Male,0.0771,0.0062,0.0029,0.0019,0.0125,0.1145
PFOS 1.5,MS38,Male,0.074,0.0042,0.0032,0.002,0.012,0.0918
PFOS 1.5,MS39,Male,0.0609,0.0061,0.0032,0.0015,0.014,0.1167
PFOS 1.5,MS40,Male,0.0786,0.0047,0.003,0.0017,0.0125,0.1237
PFOA 1.5,MA49,Male,0.0983,0.0039,0.0008,0.0033,0.0129,0.1129
PFOA 1.5,MA50,Male,0.0961,0.0006,0.0009,0.0005,0.0084,0.1005
