Sample:,Sex,group,Baseline,Week1,Week2,Week3,Week4
MN01,Male,Naive,33.6,46.0,46.4,49.8,35.8
MN02,Male,Naive,33.0,45.4,38.8,40.0,27.6
MN03,Male,Naive,36.2,38.0,43.6,40.4,33.0
MN04,Male,Naive,37.0,41.0,40.6,33.6,29.8
MN05,Male,Naive,34.8,42.0,48.8,41.0,27.4
MN06,Male,Naive,40.6,43.2,36.4,41.6,30.4
MN07,Male,Naive,39.0,39.6,40.4,45.2,34.6
MN08,Male,Naive,46.4,47.6,56.0,54.0,37.8
MV17,Male,Vehicle,33.2,33.2,33.2,34.0,29.0
MV18,Male,Vehicle,29.0,29.4,26.4,34.6,30.4
MV19,Male,Vehicle,30.6,31.4,29.0,39.6,30.8
MV20,Male,Vehicle,34.4,51.4,38.6,37.8,31.4
MV21,Male,Vehicle,41.4,46.0,46.6,32.0,30.2
MV22,Male,Vehicle,37.0,36.4,31.8,35.2,27.8
MV23,Male,Vehicle,30.4,18.6,29.8,35.2,29.4
MV24,Male,Vehicle,37.0,47.6,45.6,31.6,29.4
MS33,Male,PFOS 1.5,42.6,33.4,36.6,35.4,29.0
MS34,Male,PFOS 1.5,42.8,42.8,41.8,40.4,35.0
MS35,Male,PFOS 1.5,29.6,33.0,29.4,29.4,26.6
MS36,Male,PFOS 1.5,38.0,41.0,43.2,42.8,38.4
MS37,Male,PFOS 1.5,32.0,36.6,40.0,41.0,35.6
MS38,Male,PFOS 1.5,39.2,49.2,30.6,28.6,21.2
MS39,Male,PFOS 1.5,43.8,39.8,36.0,44.6,32.8
MS40,Male,PFOS 1.5,34.8,34.0,37.2,38.4,26.2
MA49,Male,PFOA 1.5,34.8,31.0,36.6,38.4,24.6
MA50,Male,PFOA 1.5,30.8,29.4,30.0,31.8,25.8
MA51,Male,PFOA 1.5,33.2,33.8,37.8,42.4,29.4
MA52,Male,PFOA 1.5,27.8,31.6,40.2,34.4,26.0
MA53,Male,PFOA 1.5,41.4,43.0,43.4,50.8,36.6
MA54,Male,PFOA 1.5,47.8,40.4,36.8,46.6,36.0
MA55,Male,PFOA 1.5,42.6,43.8,52.4,52.0,40.2
MA56,Male,PFOA 1.5,46.0,40.4,49.6,52.0,38.4
"FN09
FN10
FN11",Female,Naive,30.5,27.8,30.3,33.1,26.3
"FN12
FN13
FN14",Female,Naive,28.2,32.3,32.7,32.6,32.1
"FN15
FN16",Female,Naive,37.0,42.0,37.8,36.2,35.7
"FV25
FV26",Female,Vehicle,36.1,34.7,36.7,38.2,44.3
"FV27
FV28
FV29",Female,Vehicle,39.5,33.5,33.8,37.1,39.9
"FV30
FV31
FV32",Female,Vehicle,32.5,30.1,31.7,34.2,38.3
"FS41
FS42
FS43",Female,PFOS 1.5,32.9,33.5,33.9,34.1,37.3
"FS44
FS45
FS46",Female,PFOS 1.5,39.1,23.6,30.4,29.0,31.3
"FS47
FS48",Female,PFOS 1.5,43.3,34.6,38.1,36.0,42.3
"FA57
FA58",Female,PFOA 1.5,34.0,32.2,34.5,36.2,34.2
"FA59
FA60
FA61",Female,PFOA 1.5,34.9,31.5,33.3,34.5,32.7
"FA62
FA63
FA64",Female,PFOA 1.5,30.5,26.7,28.7,29.4,29.9
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
