Sample:,Sex,group,Baseline,Week1,Week2,Week3,Week4
MN01,Male,Naive,43.7,59.9,60.4,64.8,46.6
MN02,Male,Naive,43,59.1,50.5,52.1,35.9
MN03,Male,Naive,47.1,49.5,56.8,52.6,43
MN04,Male,Naive,48.2,53.4,52.9,43.7,38.8
MN05,Male,Naive,45.3,54.7,63.5,53.4,35.7
MN06,Male,Naive,52.9,56.2,47.4,54.2,39.6
MN07,Male,Naive,50.8,51.6,52.6,58.8,45
MN08,Male,Naive,60.4,62,72.9,70.3,49.2
MV17,Male,Vehicle,43.2,43.2,43.2,44.3,37.8
MV18,Male,Vehicle,37.8,38.3,34.4,45,39.6
MV19,Male,Vehicle,39.8,40.9,37.8,51.6,40.1
MV20,Male,Vehicle,44.8,66.9,50.3,49.2,40.9
MV21,Male,Vehicle,53.9,59.9,60.7,41.7,39.3
MV22,Male,Vehicle,48.2,47.4,41.4,45.8,36.2
MV23,Male,Vehicle,39.6,24.2,38.8,45.8,38.3
MV24,Male,Vehicle,48.2,62,59.4,41.1,38.3
MS33,Male,PFOS 1.5,55.5,43.5,47.6,46.1,37.8
MS34,Male,PFOS 1.5,55.7,55.7,54.4,52.6,45.6
MS35,Male,PFOS 1.5,38.5,43,38.3,38.3,34.6
MS36,Male,PFOS 1.5,49.5,53.4,56.2,55.7,50
MS37,Male,PFOS 1.5,41.7,47.6,52.1,53.4,46.3
MS38,Male,PFOS 1.5,51,64.1,39.8,37.2,27.6
MS39,Male,PFOS 1.5,57,51.8,46.9,58.1,42.7
MS40,Male,PFOS 1.5,45.3,44.3,48.4,50,34.1
MA49,Male,PFOA 1.5,45.3,40.4,47.6,50,32
MA50,Male,PFOA 1.5,40.1,38.3,39.1,41.4,33.6
MA51,Male,PFOA 1.5,43.2,44,49.2,55.2,38.3
MA52,Male,PFOA 1.5,36.2,41.1,52.3,44.8,33.8
MA53,Male,PFOA 1.5,53.9,56,56.5,66.1,47.6
MA54,Male,PFOA 1.5,62.2,52.6,47.9,60.7,46.9
MA55,Male,PFOA 1.5,55.5,57,68.2,67.7,52.3
MA56,Male,PFOA 1.5,59.9,52.6,64.6,67.7,50
"FN09
FN10
FN11",Female,Naive,39.7,36.2,39.5,43,34.3
"FN12
FN13
FN14",Female,Naive,36.7,42,42.5,42.4,41.7
"FN15
FN16",Female,Naive,48.2,54.7,49.2,47.1,46.5
"FV25
FV26",Female,Vehicle,47,45.2,47.8,49.7,
"FV27
FV28
FV29",Female,Vehicle,51.4,43.7,44,48.3,51.9
"FV30
FV31
FV32",Female,Vehicle,42.3,39.1,41.3,44.5,49.9
"FS41
FS42
FS43",Female,PFOS 1.5,42.9,43.7,44.2,44.4,48.6
"FS44
FS45
FS46",Female,PFOS 1.5,50.9,30.7,39.6,37.8,40.7
"FS47
FS48",Female,PFOS 1.5,56.4,45,49.6,46.9,55.1
"FA57
FA58",Female,PFOA 1.5,44.3,41.9,44.9,47.1,44.5
"FA59
FA60
FA61",Female,PFOA 1.5,45.5,41.1,43.3,44.9,42.5
"FA62
FA63
FA64",Female,PFOA 1.5,39.8,34.7,37.4,38.3,39
