Sample:,Sex,group,Baseline,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8
April 23_MN65_001.fcs,Male,Naive,24,23.4,23.6,23,24,23.4,24,24.4,25
April 23_MN66_002.fcs,Male,Naive,22.6,22.8,23.4,23.2,23.4,23.2,23.2,22.8,24.4
April 24_MN67_001.fcs,Male,Naive,26.2,25.4,26.2,26.6,26.6,26.2,26.4,27.2,27
April 24_MN68_002.fcs,Male,Naive,25,24.6,25.6,26.4,27.6,27.8,28.8,29.6,30
April 25_MN69_001.fcs,Male,Naive,25.2,24,26,25.2,27.4,27.4,27.2,28.4,29.4
April 25_MN70_002.fcs,Male,Naive,24.4,25.4,26,26.6,27,27.4,28.4,28.6,30
April 26_MN71_001.fcs,Male,Naive,26.6,26.6,26,26.8,27.2,26.6,28,28,27.2
April 26_MN72_002.fcs,Male,Naive,23,24.6,25.4,25.2,26.8,26.8,28,28,29
April 23_MV73_003.fcs,Male,Vehicle,26.2,25.2,26.6,28.4,29.4,30.4,30.6,30.8,31.6
April 23_MV74_004.fcs,Male,Vehicle,20.6,21,22,22,22.8,23.4,23.8,23.2,23.4
April 24_MV75_003.fcs,Male,Vehicle,22.4,23,23.8,24,23.2,23.4,23.8,23.6,24.6
April 24_MV76_004.fcs,Male,Vehicle,26.2,25.6,25.8,25.4,26.2,26.4,25.4,25.2,25.4
April 25_MV77_003.fcs,Male,Vehicle,24,23.4,24.6,25,26.4,27,27,27.2,28.6
April 25_MV78_004.fcs,Male,Vehicle,26.4,27.4,27.6,27.2,27.2,28,28,27.8,28.4
April 26_MV79_003.fcs,Male,Vehicle,26,27.4,28.4,28.4,27.6,26.4,27.8,27.8,28.6
April 26_MV80_004.fcs,Male,Vehicle,23.6,24,23.4,23.8,24,23.8,24.6,24.4,26
April 23_MA81_005.fcs,Male,PFOA 0.166,21.6,22.6,22.6,23,22.8,23,22.4,22.6,22.8
April 23_MA82_006.fcs,Male,PFOA 0.166,24.2,24.8,25.4,26.4,26.8,27,26.8,27.6,28.2
April 24_MA83_005.fcs,Male,PFOA 0.166,26,26.6,26.8,27.6,28.2,28,28.2,28.2,29.2
April 24_MA84_006.fcs,Male,PFOA 0.166,23.2,23.8,25,25.6,26.6,26.2,26.6,27.4,27.8
April 25_MA86_005.fcs,Male,PFOA 0.166,23.4,23.8,24,23.8,23.8,24,24.4,22.4,*
April 26_MA87_005.fcs,Male,PFOA 0.166,25,25.6,26.2,26.6,26.8,27.4,27,26.6,28.2
April 26_MA88_006.fcs,Male,PFOA 0.166,23,24.6,23.6,25,24.8,25.2,25.4,25.6,26.6
April 26_MA88_006.fcs,Male,PFOA 0.166,23.2,23.8,24.2,25,24.6,25.6,24.8,25.6,25.8
April 23_MA89_007.fcs,Male,PFOA 0.5,21.6,22.2,24,25,24.4,24.4,24,24.8,24.6
April 23_MA90_008.fcs,Male,PFOA 0.5,24,25,24.6,24.8,24.8,24.8,24.8,25.4,25.4
April 24_MA91_007.fcs,Male,PFOA 0.5,23.8,24.2,25.2,26.2,27,28,28,27.6,27.6
April 24_MA92_008.fcs,Male,PFOA 0.5,23.4,23.6,24,23.2,24,24.4,25,25.6,25.2
April 25_MA93_006.fcs,Male,PFOA 0.5,22.6,23,23.6,24.4,24.4,23.6,25,25.2,26.6
April 25_MA94_007.fcs,Male,PFOA 0.5,25.2,25.4,26,26.4,26.4,26,26.4,26.6,26.6
April 26_MA95_007.fcs,Male,PFOA 0.5,23.8,24.6,25.2,24.8,24.8,24.8,25.4,26,26.2
April 26_MA96_008.fcs,Male,PFOA 0.5,23.4,23.8,24.2,23.8,24.6,24.6,24.8,24.8,26.2
April 23_MA97_009.fcs,Male,PFOA 1,23.8,24,24.8,24.6,24.6,24.8,25.2,25.8,25.8
April 23_MA98_010.fcs,Male,PFOA 1,20.4,20.6,21.8,22.8,23.2,24,24,24.6,24.2
April 23_MA99_010.fcs,Male,PFOA 1,25.6,25.8,27.2,26.8,27.6,27.2,27.6,27.8,*
April 24_MA100_009.fcs,Male,PFOA 1,24.8,26,25.8,26.6,26.4,26.8,27,27.6,27
April 25_MA101_008.fcs,Male,PFOA 1,22.2,22.6,24,24.6,25.6,25.6,25.8,26.6,26
April 25_MA102_009.fcs,Male,PFOA 1,22.8,22.6,23.2,23.8,24,24.6,25,25,25.8
April 26_MA103_009.fcs,Male,PFOA 1,24.6,24.6,25.2,25.6,25.6,26.8,26.2,27.2,27.6
April 26_MA104_010.fcs,Male,PFOA 1,19.8,20.6,22.6,24,24.6,25.6,26,25.6,26.4
April 23_MA105_011.fcs,Male,PFOA 1.5,23,24.2,25.4,27.4,27.8,28,28,28.6,28.2
April 23_MA106_012.fcs,Male,PFOA 1.5,23,21.8,23,22,23.6,23.4,23.6,23.8,23.2
April 23_MA107_012.fcs,Male,PFOA 1.5,24.2,24.8,25.6,26,27.4,26.8,27,27.4,*
April 24_MA108_010.fcs,Male,PFOA 1.5,20.2,21,21.2,22,23.2,23,23,23.4,23.2
April 25_MA109_010.fcs,Male,PFOA 1.5,23.8,23.4,25.2,24.4,25.2,25.8,26.4,26.8,27
April 25_MA110_011.fcs,Male,PFOA 1.5,22.4,23.6,24.6,25,25.2,26.4,27,28.2,27.6
April 26_MA111_011.fcs,Male,PFOA 1.5,24.6,24.6,25.2,26,25.2,26.2,26,26.4,26.8
April 26_MA112_012.fcs,Male,PFOA 1.5,21.4,22.2,22,22.6,22.2,23,23.2,23,24
April 23_MS113_013.fcs,Male,PFOS 0.166,22.4,22.8,22.8,23.2,24.2,24,24.4,24.8,25.2
April 23_MS114_014.fcs,Male,PFOS 0.166,25.4,26.2,27,25.4,26.2,27.2,27.6,26.2,27.2
April 24_MS115_011.fcs,Male,PFOS 0.166,23,22.4,23.8,23,23,23,23.2,23.2,23.8
April 24_MS116_012.fcs,Male,PFOS 0.166,23,24,24.2,24.8,25.4,24.8,25.6,25.4,25.6
