Sample:,Sex,group,Eotaxin, G-CSF,GM-CSF,IFN-g,IL-1a,IL-1b,IL-2,IL-3,IL-4,IL-5,IL-6,IL-9,IL-10,IL-12(p40) ,IL-12(p70) ,IL-13,IL-17a,KC,MCP-1,MIP-1a,MIP-1b,RANTES,TNF-a
April 23_MN65_001.fcs,Male,Naive,357.72,32.43,27.39,5.76,7.65,3.87,5.35,1.19,2.63,3,1.39,5.87,16.34,479.94,2.32,58.35,13.08,36.23,159.14,2.2,45.35,34.22,36.88
April 23_MN66_002.fcs,Male,Naive,411.81,51.8,41.37,8.58,7.51,3.71,7.76,3.03,3.28,5.95,2,9.38,19.68,568.18,2.32,69.88,15.51,32.58,185.14,2.41,51.18,45.96,59.5
April 24_MN67_001.fcs,Male,Naive,480.99,57.45,29.1,6.59,6.95,3.4,9.87,1.79,2.7,3.99,1.55,6.39,18.57,499.27,2.32,54.47,11.48,31.52,209.42,2.7,44.52,36.27,49.2
April 24_MN68_002.fcs,Male,Naive,428.44,53.41,35.47,12.59,7.79,4.5,10.91,2.75,3.86,5.3,1.55,11.34,24.04,393.81,2.32,77.45,16.46,39.86,197.47,2.27,49.54,34.27,67.77
April 25_MN69_001.fcs,Male,Naive,203.11,72.82,44.18,2.63,10.29,5.63,31,1.25,1.58,1.34,3.86,3.29,28.32,991.18,33.6,73.67,0.29,75.52,60.43,3.27,63.67,69.23,16.5
April 25_MN70_002.fcs,Male,Naive,274.73,61.49,38.47,7.91,5.26,4.02,8.82,2.2,3.28,3.99,0.68,6.39,19.68,545.97,2.32,84.94,21.47,37.28,145.32,2.98,29.96,27,47.14
April 26_MN71_001.fcs,Male,Naive,402.65,86.58,42.78,13.09,14.54,4.66,12.98,4.01,4.3,5.79,4.7,15.66,18.57,520.63,2.32,107.04,24,39.6,232.36,3.34,72.49,64.92,79.16
April 26_MN72_002.fcs,Male,Naive,367.24,60.69,62.08,16.62,6.25,5.3,15.54,4.57,5.33,10.18,4.94,18.52,40.79,535.27,13.31,132.24,32.51,38.04,280.29,3.59,73.88,57.4,93.7
April 23_MV73_003.fcs,Male,Vehicle,328,59.88,13.8,3.28,3.11,3.24,4.54,1.12,1.85,3.99,0.44,1.09,14.07,578.51,2.32,30.39,14.32,33.63,98.9,1.55,17.12,27,38.93
April 23_MV74_004.fcs,Male,Vehicle,350.14,71.2,29.1,5.26,3.54,2.94,3.44,2.07,2.13,2.34,0.89,4.34,5.75,400.87,2.32,42.61,21.23,30.46,145.32,1.4,25.94,25.93,57.44
April 24_MV75_003.fcs,Male,Vehicle,347.17,53.41,41.37,9.91,4.12,4.02,10.91,3.03,3.86,3.33,0.44,10.37,28.32,310.97,2.32,84.94,21.23,35.72,178.82,3.49,51.18,25.93,55.38
April 24_MV76_004.fcs,Male,Vehicle,469.35,66.34,32.36,7.91,6.67,4.34,6.7,2.2,3.42,4.97,0.57,5.37,19.68,345.3,2.32,69.88,17.77,30.46,159.14,3.84,66.66,32.23,55.38
April 25_MV77_003.fcs,Male,Vehicle,502.94,63.11,54.74,16.62,10.57,4.5,19.09,5.56,6.68,7.25,1.11,22.73,28.32,278.3,24.05,114.3,22.43,43.95,285.38,5.69,93.09,53.36,96.81
April 25_MV78_004.fcs,Male,Vehicle,382.69,56.64,13.8,3.61,1.18,2.18,1.16,0.6,1.3,0.67,0.44,1.51,2.16,360.14,2.32,21.96,20.87,16.25,98.9,2.63,17.12,25.93,18.53
April 26_MV79_003.fcs,Male,Vehicle,587.79,63.11,57.24,17.12,15.83,5.63,18.08,5.42,5.71,8.56,3.28,18.52,33.56,475.99,10.11,144.65,34.21,39.35,285.38,4.42,86.42,87.94,95.77
April 26_MV80_004.fcs,Male,Vehicle,277.07,36.47,29.1,5.59,10.15,3.4,6.17,1.73,2.99,3.33,1.56,5.87,19.63,609.56,2.32,66.05,13.61,23.48,143.9,1.91,33.73,39.24,40.98
April 23_MA81_005.fcs,Male,PFOA 0.166,397.76,50.99,8.74,4.6,2.38,2.18,0.76,0.09,0.76,0.51,0.26,2.21,7,437.78,2.32,21.96,20.04,24.57,60.43,1.55,37.49,23.75,28.7
April 23_MA82_006.fcs,Male,PFOA 0.166,306.1,45.34,1.41,1.97,2.38,2.48,1.16,0.34,0.76,1.34,0.44,1.51,3.17,466.92,2.32,21.96,9.13,20.73,71.01,0.68,12.06,16.88,14.48
April 24_MA83_005.fcs,Male,PFOA 0.166,616.96,103.61,38.47,7.58,5.54,3.4,8.82,3.03,3.28,3.99,1.55,5.37,19.68,401.65,2.32,69.88,16.69,31.52,203.49,2.41,57.54,34.27,55.38
April 24_MA84_006.fcs,Male,PFOA 0.166,321.04,38.48,22.78,6.59,8.63,3.4,5.09,1.73,2.92,3.33,1.39,12.31,19.68,451.57,2.32,50.53,11.01,32.58,123.11,1.84,44.52,33.25,38.93
April 25_MA86_005.fcs,Male,PFOA 0.166,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
April 26_MA87_005.fcs,Male,PFOA 0.166,744.81,22.12,51.91,7.13,1.28,3.86,3.45,0.85,2.05,2.11,0.55,5.48,20.14,475.08,2.32,66.1,54.58,33.29,9.16,4.52,76.73,60.84,46.36
April 26_MA88_006.fcs,Male,PFOA 0.166,793.97,27.27,2.61,2.17,0.3,3.32,0.76,0.26,1.16,2.11,1.61,1.51,4.37,465.46,2.32,25.38,6.82,12.76,9.16,1.34,49.53,31.47,12.74
