Sample:,Sex,group,B Cells,B220+ F4/80+,DCs,CD8dcs,CD4 DCs,B220-macs,NK,T cells,CD4 T cells,CD4 CD69,CD8,CD8 CD69,CD4 CD25 CD69-ve,CD4 DP
April 23_MN65_001.fcs,Male,Naive,42.6,13.6,1.62,14.3,37.1,2.92,2.92,27.2,54.1,4.24,39.1,1.29,1.28,0.55
April 24_MN67_001.fcs,Male,Naive,26.5,14.2,1.85,10.5,27.2,3.43,3.43,42.8,48.1,3.74,46.8,1.46,1.34,0.33
April 24_MN68_002.fcs,Male,Naive,39.3,3.57,0.91,33.9,6.44,2.55,3.53,28.2,51.6,1.7,39.2,0.65,0.41,0.092
April 25_MN69_001.fcs,Male,Naive,25.7,14.7,1.78,7.55,30.9,4.01,2.67,42.3,50.4,4.36,44.9,1.29,1.19,0.36
April 25_MN70_002.fcs,Male,Naive,26.2,13.4,1.52,5.68,29,3.27,2.95,43.8,49.3,3.3,45.9,1.11,0.99,0.25
April 26_MN71_001.fcs,Male,Naive,34.1,12.5,2.09,7.63,36.2,3.46,2.32,37.5,47.7,4.51,47,1.07,1.6,0.45
April 26_MN72_002.fcs,Male,Naive,39.7,13.9,1.97,5.92,33.7,2.98,2.94,31.1,50,3.48,44.4,0.99,1.27,0.42
April 23_MA81_005.fcs,Male,PFOA 0.166,34.3,3.83,1.1,21.8,20.3,2.34,2.26,34.2,60.4,2.65,32.9,1.01,1,0.27
April 23_MA82_006.fcs,Male,PFOA 0.166,30.7,11.6,1.78,11.6,33.4,2.6,3.4,44.2,47.2,3.8,48,1.22,1.63,0.46
April 24_MA83_005.fcs,Male,PFOA 0.166,30.4,10.8,2,9.49,33,2.56,3.43,43.6,51.7,3.45,43.7,1.17,0.66,0.14
April 24_MA84_006.fcs,Male,PFOA 0.166,35.6,11.7,2,11.8,31.7,2.78,2.9,38.2,56.5,3.8,38.5,1.05,2.35,0.57
April 25_MA86_005.fcs,Male,PFOA 0.166,47.6,11.4,1.27,16.3,36.5,2.6,2.25,21,66.4,3.07,26.4,1.35,1.22,0.25
April 26_MA87_005.fcs,Male,PFOA 0.166,27.6,15.5,1.84,6.68,32,4.24,2.69,41.8,47.8,4.62,46.6,1.28,1.03,0.38
April 26_MA88_006.fcs,Male,PFOA 0.166,46.9,14.2,1.49,10.6,41.8,2.71,2.02,21.9,60.1,3.99,32.3,1.21,0.88,0.27
April 23_MA89_007.fcs,Male,PFOA 0.5,35,7.53,2.16,12.1,31.4,1.61,2.67,43.8,53.2,3.85,42.6,0.96,1.32,0.36
April 23_MA90_008.fcs,Male,PFOA 0.5,33.1,17.9,1.68,13.8,24.2,2.57,2.03,37.9,51,3.48,44.7,1.31,1.37,0.35
April 24_MA91_007.fcs,Male,PFOA 0.5,39.2,13.8,1.62,13.3,37.9,2.23,2.17,31.4,61.7,4.32,33.2,1.18,1.35,0.39
April 24_MA92_008.fcs,Male,PFOA 0.5,36.6,12.4,1.67,15.1,25.7,2.15,1.36,40.7,55.8,3.49,40.2,1.02,3.07,0.55
