Group,Mouse ID,Sex,PFOA,PFOS,PFBA,PFPeA,PFHxA,PFHpA,PFNA,PFDA,PFUdA,PFDoA,PFTrDA,PFTeDA,PFBS,PFPeS,PFHxS,PFHpS,PFNS,PFDS,4_2-FTS,6_2_FTS,8_2-FTS,N-MeFOSAA,N-EtFOSAA,,FOSA
Naive,MN65,Male,0.000350636,0.005345301,0.000140378,<MDL,0.000183034,0.000140311,0.001476767,0.00155463,0.00160462,0.000360771,0.000288098,<MDL,<MDL,<MDL,<MDL,<MDL,0.000271829,0.000243373,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
Naive,MN66,Male,0.0003216,0.004162662,<MDL,<MDL,#VALUE!,<MDL,0.001261709,0.001359323,0.001585182,0.000274156,0.000186218,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
Naive,MN67,Male,0.00031883,0.006961364,<MDL,<MDL,0.000223635,<MDL,0.001381868,0.001357256,0.00152087,0.00030881,0.000202795,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
Naive,MN68,Male,0.000326162,0.003546522,<MDL,<MDL,0.000169065,<MDL,0.00087545,0.000880248,0.001025617,0.000219797,0.00015399,<MDL,0.000601996,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.000423451,<MDL,<MDL,<MDL,,<MDL
Naive,MN69,Male,0.000268911,0.033150444,<MDL,<MDL,<MDL,<MDL,0.000733446,0.000760699,0.000896143,0.000210057,0.000137122,<MDL,<MDL,<MDL,<MDL,0.000544467,<MDL,<MDL,<MDL,0.000502441,<MDL,<MDL,<MDL,,<MDL
Naive,MN70,Male,0.000519823,0.012817776,<MDL,<MDL,<MDL,<MDL,0.000646527,0.000724653,0.000834746,0.000169077,0.000129492,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.000425465,<MDL,<MDL,<MDL,,<MDL
Naive,MN71,Male,0.000470734,0.004270363,<MDL,<MDL,0.000145318,<MDL,0.000982963,0.000986832,0.001095882,0.000251164,0.000189883,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.00033952,<MDL,<MDL,<MDL,,<MDL
Naive,MN72,Male,<MDL,0.007296521,<MDL,<MDL,<MDL,<MDL,0.000564636,0.000562701,0.000637516,0.000171013,0.000135662,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.000332945,<MDL,<MDL,<MDL,,<MDL
Vehicle,MV73,Male,0.016949305,0.003349056,<MDL,<MDL,<MDL,<MDL,0.00074924,0.00087219,0.000908075,0.000197299,0.000122822,<MDL,0.000557773,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.000373697,<MDL,<MDL,<MDL,,<MDL
Vehicle,MV74,Male,0.012017578,0.004569192,<MDL,<MDL,<MDL,<MDL,0.001225708,0.001350573,0.001588502,0.000321177,0.000208699,<MDL,<MDL,<MDL,<MDL,<MDL,<MDL,0.000251837,<MDL,<MDL,<MDL,<MDL,<MDL,,<MDL
