"Group","Mouse.ID","Sex","PFOA","PFOS","PFBA","PFPeA","PFHxA","PFHpA","PFNA","PFDA","PFUdA","PFDoA","PFTrDA","PFTeDA","PFBS","PFPeS","PFHxS","PFHpS","PFNS","PFDS","X4_2.FTS","X6_2_FTS","X8_2.FTS","N.MeFOSAA","N.EtFOSAA","FOSA"
"Naive","MN65","Male",3.50636e-07,5.345301e-06,1.40378e-07,8.2e-05,1.83034e-07,1.40311e-07,1.476767e-06,1.55463e-06,1.60462e-06,3.60771e-07,2.88098e-07,7.25e-05,0.000263,0.0001485,0.000379,0.0001255,2.71829e-07,2.43373e-07,0.0001055,0.000153,0.0001155,NA,NA,NA
"Naive","MN66","Male",3.216e-07,4.162662e-06,6.95e-05,8.2e-05,NA,5.35e-05,1.261709e-06,1.359323e-06,1.585182e-06,2.74156e-07,1.86218e-07,7.25e-05,0.000263,0.0001485,0.000379,0.0001255,0.000116,0.000101,0.0001055,0.000153,0.0001155,NA,NA,NA
"Naive","MN67","Male",3.1883e-07,6.961364e-06,6.95e-05,8.2e-05,2.23635e-07,5.35e-05,1.381868e-06,1.357256e-06,1.52087e-06,3.0881e-07,2.02795e-07,7.25e-05,0.000263,0.0001485,0.000379,0.0001255,0.000116,0.000101,0.0001055,0.000153,0.0001155,NA,NA,NA
"Naive","MN68","Male",3.26162e-07,3.546522e-06,6.95e-05,8.2e-05,1.69065e-07,5.35e-05,8.7545e-07,8.80248e-07,1.025617e-06,2.19797e-07,1.5399e-07,7.25e-05,6.01996e-07,0.0001485,0.000379,0.0001255,0.000116,0.000101,0.0001055,4.23451e-07,0.0001155,NA,NA,NA
"Naive","MN69","Male",2.68911e-07,3.3150444e-05,6.95e-05,8.2e-05,6.9e-05,5.35e-05,7.33446e-07,7.60699e-07,8.96143e-07,2.10057e-07,1.37122e-07,7.25e-05,0.000263,0.0001485,0.000379,5.44467e-07,0.000116,0.000101,0.0001055,5.02441e-07,0.0001155,NA,NA,NA
"Naive","MN70","Male",5.19823e-07,1.2817776e-05,6.95e-05,8.2e-05,6.9e-05,5.35e-05,6.46527e-07,7.24653e-07,8.34746e-07,1.69077e-07,1.29492e-07,7.25e-05,0.000263,0.0001485,0.000379,0.0001255,0.000116,0.000101,0.0001055,4.25465e-07,0.0001155,NA,NA,NA
"Naive","MN71","Male",4.70734e-07,4.270363e-06,6.95e-05,8.2e-05,1.45318e-07,5.35e-05,9.82963e-07,9.86832e-07,1.095882e-06,2.51164e-07,1.89883e-07,7.25e-05,0.000263,0.0001485,0.000379,0.0001255,0.000116,0.000101,0.0001055,3.3952e-07,0.0001155,NA,NA,NA
"Naive","MN72","Male",9.2e-05,7.296521e-06,6.95e-05,8.2e-05,6.9e-05,5.35e-05,5.64636e-07,5.62701e-07,6.37516e-07,1.71013e-07,1.35662e-07,7.25e-05,0.000263,0.0001485,0.000379,0.0001255,0.000116,0.000101,0.0001055,3.32945e-07,0.0001155,NA,NA,NA
"Vehicle","MV73","Male",1.6949305e-05,3.349056e-06,6.95e-05,8.2e-05,6.9e-05,5.35e-05,7.4924e-07,8.7219e-07,9.08075e-07,1.97299e-07,1.22822e-07,7.25e-05,5.57773e-07,0.0001485,0.000379,0.0001255,0.000116,0.000101,0.0001055,3.73697e-07,0.0001155,NA,NA,NA
"Vehicle","MV74","Male",1.2017578e-05,4.569192e-06,6.95e-05,8.2e-05,6.9e-05,5.35e-05,1.225708e-06,1.350573e-06,1.588502e-06,3.21177e-07,2.08699e-07,7.25e-05,0.000263,0.0001485,0.000379,0.0001255,0.000116,2.51837e-07,0.0001055,0.000153,0.0001155,NA,NA,NA
"Vehicle","MV75","Male",1.2261638e-05,3.310259e-06,1.09433e-07,2.33796e-07,6.9e-05,5.35e-05,9.11979e-07,9.40026e-07,9.67064e-07,2.17578e-07,1.32019e-07,7.25e-05,0.000263,0.0001485,0.000379,0.0001255,0.000116,2.07672e-07,0.0001055,0.000153,0.0001155,NA,NA,NA
"Vehicle","MV76","Male",1.0304625e-05,5.272292e-06,6.56035e-08,8.2e-05,6.9e-05,5.35e-05,1.37423e-06,1.648029e-06,1.838136e-06,4.10986e-07,2.81066e-07,7.25e-05,0.000263,0.0001485,0.000379,0.0001255,0.000116,2.46951e-07,0.0001055,0.000153,0.0001155,NA,NA,NA
"Vehicle","MV77","Male",8.333561e-06,4.003988e-06,5.06786e-08,8.2e-05,6.9e-05,5.35e-05,8.19522e-07,8.75822e-07,1.067876e-06,2.25384e-07,1.57088e-07,7.25e-05,0.000263,0.0001485,0.000379,0.0001255,0.000116,0.000101,0.0001055,0.000153,0.0001155,NA,NA,NA
