Sample:,Sex,group,DN,DN DN,DN CD25,DN DP,DN CD3,DP,DP CD69,SP4,SP4 CD69,SP8,SP8 CD69,Macrophages,Dendritic Cells,B Cells,Phase
April 23_MN65_001.fcs,Male,Naive,2.97,27.2,54.8,1.41,16.6,84,3.08,7.08,48.3,2.16,31.3,1.92,0.22,0.15,2
April 23_MN66_002.fcs,Male,Naive,3.35,26.6,58.6,1.47,13.4,84.3,3.17,6.19,55.8,1.74,32.9,0.92,0.27,0.31,2
April 24_MN67_001.fcs,Male,Naive,16.3,20,66.2,5.54,8.23,64.5,3.78,7.14,51,2.41,41,2.99,0.6,0.87,2
April 24_MN68_002.fcs,Male,Naive,11.5,17.2,73.5,1.66,7.67,70.6,4.75,7.49,43.7,2.29,30.5,4.21,0.51,0.72,2
April 25_MN69_001.fcs,Male,Naive,15.3,21.7,64.6,2.41,11.3,51.2,6.15,14.3,47,4.53,29.7,3.16,0.76,0.96,2
April 25_MN70_002.fcs,Male,Naive,9.26,19.8,71.1,2.1,7.03,62.3,4.35,14.8,36.5,4.72,25.8,3.54,0.54,0.76,2
April 26_MN71_001.fcs,Male,Naive,4.35,21.4,64.6,2,12,77.8,5.67,9,44,2.52,30.3,2.58,0.21,0.32,2
April 26_MN72_002.fcs,Male,Naive,12.5,18.5,72.3,2.66,6.59,66.4,2.74,8.55,41.8,2.12,25.3,2.9,0.35,0.76,2
April 23_MA81_005.fcs,Male,PFOA 0.166,4.43,25.8,61.5,1.55,11.2,77.5,3.17,9.9,42.4,2.9,27.7,1.04,0.25,0.36,2
April 23_MA82_006.fcs,Male,PFOA 0.166,3.61,29.5,55.2,1.48,13.9,79.9,2.82,8.78,43,3.34,29.9,0.59,0.19,0.21,2
April 24_MA83_005.fcs,Male,PFOA 0.166,20.7,16.2,70,2.63,11.2,41.4,3.69,19.1,38.2,6.34,34.2,4.07,2.07,1.49,2
April 24_MA84_006.fcs,Male,PFOA 0.166,22.9,17.6,71.7,5.5,5.28,61.3,1.96,3.15,49.8,1.21,30.5,5.05,0.78,1.14,2
