Sample:,Sex,group,ALP,ALT,CA,CHOL,FT4,LDH,TBI,TGL
MN65,Male,Naive,74,34.1,2.19,2.37,20.5,211.3,3,0.49
MN66,Male,Naive,65,25.8,2.3,2.37,23,211.8,3.6,0.81
MN67,Male,Naive,73,27.3,2.19,2.6,20.2,263,4.6,0.71
MN68,Male,Naive,75,32.2,2.26,2.52,26.1,187,5,1.09
MN69,Male,Naive,76,26,2.2,2.14,28.4,151.9,3.8,0.66
MN70,Male,Naive,84,28.3,2.18,2.35,20,167.7,4.7,0.77
MN71,Male,Naive,66,27.1,2.21,2.39,25.6,194,5.1,0.64
MN72,Male,Naive,77,33,2.25,2.26,22.4,211,4.4,1.36
MV73,Male,Vehicle,66,21.7,2.19,2.8,23.6,126.8,5,1.08
MV74,Male,Vehicle,79,39.5,2.19,2.17,23.4,178.9,4.6,0.65
MV75,Male,Vehicle,80,28,2.35,2.39,18.8,152.3,6,0.93
MV76,Male,Vehicle,-,27.6,2.19,2.23,23.8,Outlier,1.7,1.58
MV77,Male,Vehicle,67,34.7,2.42,2.52,18.2,167.4,4.8,0.74
MV78,Male,Vehicle,61,36,2.18,2.72,20.2,191.6,5.7,0.62
MV79,Male,Vehicle,69,18.7,2.25,1.34,19.7,144.9,7.7,0.57
MV80,Male,Vehicle,65,24.9,2.19,2.39,20.7,134.6,7.3,0.55
MA81,Male,PFOA 0.166,81,55.6,2.29,2.22,22.1,190.8,5.3,0.44
MA82,Male,PFOA 0.166,97,59.7,2.25,1.91,21.6,156.8,5.1,0.85
MA83,Male,PFOA 0.166,77,44,2.27,2.16,18,232.4,3,0.78
MA84,Male,PFOA 0.166,76,47.1,2.25,2.09,17.7,196.2,4.6,0.48
MA85,Male,PFOA 0.166,F),F),F),F),F),F),F),F)
MA86,Male,PFOA 0.166,98,44.4,2.52,2.25,18.2,468,5.3,0.5
MA87,Male,PFOA 0.166,80,33.8,2.21,2.65,17.5,140.5,6,0.51
MA88,Male,PFOA 0.166,88,31.6,2.3,2.4,20.3,150.1,6.7,0.72
MA89,Male,PFOA 0.5,106,44.6,2.25,2.2,14.4,267.4,2.5,0.42
MA90,Male,PFOA 0.5,117,40.9,2.26,2.62,20.3,217.4,1.1,0.38
MA91,Male,PFOA 0.5,111,29.6,2.09,2.66,15.7,144.4,5.5,0.45
MA92,Male,PFOA 0.5,157,36.8,2.32,2.41,15.6,124,5.5,0.38
MA93,Male,PFOA 0.5,123,55.3,2.32,2.29,19.2,196.5,4.2,0.28
MA94,Male,PFOA 0.5,112,55.7,2.45,2.37,23.6,491,3.1,0.36
MA95,Male,PFOA 0.5,116,39,2.16,2.34,18.4,125.9,5,0.28
MA96,Male,PFOA 0.5,125,210.9,2.35,2.83,17.4,489.6,4.5,0.37
MA97,Male,PFOA 1,150,66.2,2.36,2.38,18,359.7,2.4,0.47
