Sample:,Sex,group,Liver,Spleen,Pancreas,Thymus,Kidneys,GI Tract
April 23_MN65_001.fcs,Male,Naive,0.045,0.0024,0.0048,0.0018,0.0135,0.1256
April 23_MN66_002.fcs,Male,Naive,0.048,0.0024,0.0049,0.0016,0.0136,0.1124
April 24_MN67_001.fcs,Male,Naive,0.0495,0.0024,0.0058,0.0015,0.0127,0.1132
April 24_MN68_002.fcs,Male,Naive,0.0538,0.0026,0.0087,0.0009,0.0151,0.0898
April 25_MN69_001.fcs,Male,Naive,0.053,0.0024,0.0059,0.0013,0.0166,0.0872
April 25_MN70_002.fcs,Male,Naive,0.0532,0.0025,0.0061,0.0012,0.0158,0.1033
April 26_MN71_001.fcs,Male,Naive,0.0524,0.0025,0.0043,0.0012,0.0148,0.1057
April 26_MN72_002.fcs,Male,Naive,0.0548,0.0024,0.0061,0.0011,0.0153,0.0925
April 23_MV73_003.fcs,Male,Vehicle,0.0535,0.0033,0.0059,0.0013,0.0163,0.1141
April 23_MV74_004.fcs,Male,Vehicle,0.0528,0.0036,0.0057,0.0017,0.0151,0.1065
April 24_MV75_003.fcs,Male,Vehicle,0.0478,0.0029,0.0047,0.0014,0.0126,0.1156
April 24_MV76_004.fcs,Male,Vehicle,0.052,0.0032,0.0061,0.0015,0.0127,0.1132
April 25_MV77_003.fcs,Male,Vehicle,0.0468,0.0028,0.0051,0.0016,0.0122,0.1118
April 25_MV78_004.fcs,Male,Vehicle,0.05,0.0031,0.0062,0.0015,0.0132,0.1242
April 26_MV79_003.fcs,Male,Vehicle,0.035,0.0026,0.0069,0.0015,0.0135,0.1266
April 26_MV80_004.fcs,Male,Vehicle,0.0492,0.0025,0.0062,0.0017,0.0129,0.1162
April 23_MA81_005.fcs,Male,PFOA 0.166,0.0569,0.0035,0.0067,0.0016,0.0149,0.0996
April 23_MA82_006.fcs,Male,PFOA 0.166,0.0628,0.0026,0.0061,0.0014,0.0154,0.1013
April 24_MA83_005.fcs,Male,PFOA 0.166,0.06,0.0023,0.0065,0.0012,0.0167,0.1004
April 24_MA84_006.fcs,Male,PFOA 0.166,0.0607,0.0027,0.0056,0.0012,0.0143,0.098
April 25_MA86_005.fcs,Male,PFOA 0.166,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.0644
April 26_MA87_005.fcs,Male,PFOA 0.166,0.0559,0.0034,0.0047,0.0012,0.0247,0.1011
April 26_MA88_006.fcs,Male,PFOA 0.166,0.0571,0.0022,0.0055,0.0014,0.0119,0.1203
April 26_MA88_006.fcs,Male,PFOA 0.166,0.0591,0.0038,0.0053,0.0016,0.0132,0.1087
April 23_MA89_007.fcs,Male,PFOA 0.5,0.0757,0.0029,0.0059,0.0015,0.0148,0.1165
April 23_MA90_008.fcs,Male,PFOA 0.5,0.0768,0.0028,0.0067,0.0013,0.014,0.1282
April 24_MA91_007.fcs,Male,PFOA 0.5,0.0791,0.0032,0.0049,0.0013,0.0141,0.0971
April 24_MA92_008.fcs,Male,PFOA 0.5,0.0752,0.0028,0.0053,0.0015,0.0138,0.1088
April 25_MA93_006.fcs,Male,PFOA 0.5,0.0758,0.0032,0.0053,0.0015,0.0148,0.0905
April 25_MA94_007.fcs,Male,PFOA 0.5,0.0759,0.003,0.0053,0.0012,0.013,0.107
April 26_MA95_007.fcs,Male,PFOA 0.5,0.0765,0.0033,0.005,0.0016,0.0126,0.1108
April 26_MA96_008.fcs,Male,PFOA 0.5,0.0781,0.0026,0.0049,0.0017,0.0129,0.1277
April 23_MA97_009.fcs,Male,PFOA 1,0.0864,0.003,0.0045,0.0016,0.0134,0.1209
April 23_MA98_010.fcs,Male,PFOA 1,0.0837,0.0025,0.0047,0.0015,0.0145,0.1201
April 23_MA99_010.fcs,Male,PFOA 1,#VALUE!,0.0021,0.0062,0.0042,0.0151,0.0957
April 24_MA100_009.fcs,Male,PFOA 1,0.0917,0.003,0.0052,0.0015,0.0141,0.1106
April 25_MA101_008.fcs,Male,PFOA 1,0.0902,0.0035,0.0051,0.0015,0.013,0.0849
April 25_MA102_009.fcs,Male,PFOA 1,0.0872,0.0032,0.0035,0.0014,0.0117,0.1142
April 26_MA103_009.fcs,Male,PFOA 1,0.0499,0.0033,0.0066,0.0018,0.0138,0.133
April 26_MA104_010.fcs,Male,PFOA 1,0.0879,0.0032,0.0048,0.0015,0.0118,0.1179
April 23_MA105_011.fcs,Male,PFOA 1.5,0.0906,0.0024,0.0043,0.0016,0.0137,0.1146
April 23_MA106_012.fcs,Male,PFOA 1.5,0.0889,0.0022,0.0047,0.0016,0.0131,0.1179
April 23_MA107_012.fcs,Male,PFOA 1.5,#VALUE!,0.0027,0.0049,0.0021,0.0142,0.105
April 24_MA108_010.fcs,Male,PFOA 1.5,0.0917,0.0032,0.0045,0.0019,0.0125,0.1161
April 25_MA109_010.fcs,Male,PFOA 1.5,0.1052,0.0033,0.0055,0.0013,0.013,0.1058
April 25_MA110_011.fcs,Male,PFOA 1.5,0.1066,0.003,0.0049,0.0014,0.014,0.1091
April 26_MA111_011.fcs,Male,PFOA 1.5,0.0971,0.0027,0.0033,0.0016,0.0136,0.1179
April 26_MA112_012.fcs,Male,PFOA 1.5,0.0919,0.0029,0.0043,0.0019,0.0128,0.1132
April 23_MS113_013.fcs,Male,PFOS 0.166,0.0552,0.0033,0.006,0.0016,0.0122,0.1097
April 23_MS114_014.fcs,Male,PFOS 0.166,0.0535,0.0036,0.0059,0.0012,0.0127,0.1119
April 24_MS115_011.fcs,Male,PFOS 0.166,0.0562,0.003,0.0057,0.0015,0.0134,0.1101
April 24_MS116_012.fcs,Male,PFOS 0.166,0.0543,0.0027,0.005,0.0013,0.0133,0.1165
April 25_MS117_012.fcs,Male,PFOS 0.166,0.054,0.0033,0.0055,0.0019,0.0133,0.0968
April 25_MS118_013.fcs,Male,PFOS 0.166,0.0538,0.0032,0.0066,0.0012,0.0136,0.1115
April 26_MS119_013.fcs,Male,PFOS 0.166,0.0535,0.0029,0.0065,0.0015,0.0123,0.114
April 26_MS120_014.fcs,Male,PFOS 0.166,0.0564,0.0032,0.0046,0.0015,0.0142,0.0896
