Sex,group,Sample,Baseline,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8
Male,Naive,MN65,38.2,37.6,37.0,44.2,43.8,44.8,52.0,30.2,28.2
Male,Naive,MN66,38.6,40.4,45.0,42.2,42.0,43.2,47.6,34.4,27.4
Male,Naive,MN67,47.6,49.8,46.6,43.8,44.4,47.8,57.0,37.6,42.2
Male,Naive,MN68,43.2,47.8,49.2,48.6,75.2,72.2,76.8,56.4,47.2
Male,Naive,MN69,49.2,45.4,57.6,51.8,59.8,56.4,80.0,64.4,66.8
Male,Naive,MN70,42.6,50.6,49.0,48.2,67.2,65.0,77.0,58.8,64.0
Male,Naive,MN71,47.6,50.2,58.6,58.2,62.0,52.2,67.2,44.2,54.4
Male,Naive,MN72,32.6,39.6,47.4,49.2,53.8,50.0,67.0,55.2,70.0
Male,Vehicle,MV73,49.6,39,50.2,63.8,53.4,52.8,63.8,50,37.2
Male,Vehicle,MV74,43.4,44.8,45.4,43,46,44.8,46.6,40.8,29.6
Male,Vehicle,MV75,41.8,36.2,34.6,37.8,43.6,44.6,50,34,34.4
Male,Vehicle,MV76,36.2,33.6,30.6,25.2,27.2,27,31,31.2,30
Male,Vehicle,MV77,37,37.6,42,47.8,50.2,49.6,54,38.2,42.6
Male,Vehicle,MV78,47.6,45,43.2,46,48,52.2,49,36.4,46
Male,Vehicle,MV79,35,35.2,33.4,29.8,31.6,39.2,39,31.8,47.6
Male,Vehicle,MV80,41.2,36.6,36.4,43.4,46,41.4,51.4,34.8,48.2
Male,PFOA 0.166,MA81,50.6,30.8,30.2,30.2,35.6,51.0,49.2,34.6,29.6
Male,PFOA 0.166,MA82,41.6,54.2,52.0,56.6,46.8,48.8,58.2,48.4,44.2
Male,PFOA 0.166,MA83,56.0,63.2,77.2,43.8,41.6,66.6,44.6,30.0,59.8
Male,PFOA 0.166,MA84,44.4,45.2,49.4,45.8,51.2,43.2,51.6,43.2,43.2
Male,PFOA 0.166,MA85,29.6,36.0,38.2,37.4,44.2,42.8,46.4,26.6,
Male,PFOA 0.166,MA86,41.4,40.2,42.4,39.6,43.8,38.8,48.4,39.6,43.0
Male,PFOA 0.166,MA87,36.6,39.8,41.6,36.6,42.8,40.4,43.2,35.0,49.2
Male,PFOA 0.166,MA88,34.8,35.4,33.8,42.4,42.8,36.8,42.0,33.8,53.2
Male,PFOA 0.5,MA89,32.2,29.0,37.0,29.0,36.8,50.4,55.4,41.8,38.6
Male,PFOA 0.5,MA90****,39.2,,44.8,39.6,42.6,39.0,56.2,39.4,32.6
Male,PFOA 0.5,MA91,46.2,42.0,55.2,35.2,35.4,54.6,63.0,30.2,41.6
Male,PFOA 0.5,MA92,32.2,38.8,41.8,42.6,43.4,39.2,49.4,34.2,32.6
Male,PFOA 0.5,MA93,43.4,42.4,48.2,43.4,47.2,45.4,55.0,40.4,58.4
Male,PFOA 0.5,MA94,30.8,35.2,35.2,32.8,34.0,38.4,38.6,30.0,40.6
Male,PFOA 0.5,MA95,51.2,45.2,62.0,50.6,47.8,54.6,53.2,38.2,58.8
Male,PFOA 0.5,MA96,36.4,37.8,39.4,39.4,37.4,36.0,45.8,31.8,42.6
Male,PFOA 1,MA97,36.4,41.6,43.2,38.4,43.0,45.6,51.6,35.8,30.2
Male,PFOA 1,MA98,10.8,40.2,37.6,34.8,34.8,38.8,42.8,28.6,29.2
Male,PFOA 1,MA99,46.2,44.8,43.4,37.0,38.4,36.0,52.0,38.0,D)
Male,PFOA 1,MA100,39.8,43.6,45.4,43.8,47.0,47.6,51.0,39.0,40.2
Male,PFOA 1,MA101,43.4,45.4,51.8,46.2,46.0,64.2,55.6,45.0,46.4
Male,PFOA 1,MA102,38.6,40.8,39.0,46.8,43.8,43.6,53.0,34.0,46.2
Male,PFOA 1,MA103,33.0,38.6,40.6,40.6,38.8,38.8,41.6,30.2,42.6
Male,PFOA 1,MA104,36.6,44.2,48.8,43.6,42.0,43.0,45.8,33.4,45.6
Male,PFOA 1.5,MA105+GD46:E72,43.2,34.6,42.2,37.0,70.8,38.0,72.4,31.2,30.4
