Sample:,Sex,group,Baseline,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8
April 23_MN65_001.fcs,Male,Naive,49.7,49,48.2,57.5,57,58.3,67.7,39.3,36.7
April 23_MN66_002.fcs,Male,Naive,50.3,52.6,58.6,54.9,54.7,56.2,62,44.8,35.7
April 24_MN67_001.fcs,Male,Naive,62,64.8,60.7,57,57.8,62.2,74.2,49,54.9
April 24_MN68_002.fcs,Male,Naive,56.2,62.2,64.1,63.3,97.9,94,100,73.4,61.4
April 25_MN69_001.fcs,Male,Naive,64.1,59.1,75,67.4,77.9,73.4,104.2,83.8,87
April 25_MN70_002.fcs,Male,Naive,55.5,65.9,63.8,62.8,87.5,84.6,100.2,76.6,83.3
April 26_MN71_001.fcs,Male,Naive,62,65.4,76.3,75.8,80.7,68,87.5,57.5,70.8
April 26_MN72_002.fcs,Male,Naive,42.4,51.6,61.7,64.1,70,65.1,87.2,71.9,91.1
April 23_MV73_003.fcs,Male,Vehicle,64.6,50.8,65.4,83.1,69.5,68.7,83.1,65.1,48.4
April 23_MV74_004.fcs,Male,Vehicle,56.5,58.3,59.1,56,59.9,58.3,60.7,53.1,38.5
April 24_MV75_003.fcs,Male,Vehicle,54.4,47.1,45,49.2,56.8,58.1,65.1,44.3,44.8
April 24_MV76_004.fcs,Male,Vehicle,47.1,43.7,39.8,32.8,35.4,35.2,40.4,40.6,39.1
April 25_MV77_003.fcs,Male,Vehicle,48.2,49,54.7,62.2,65.4,64.6,70.3,49.7,55.5
April 25_MV78_004.fcs,Male,Vehicle,62,58.6,56.2,59.9,62.5,68,63.8,47.4,59.9
April 26_MV79_003.fcs,Male,Vehicle,45.6,45.8,43.5,38.8,41.1,51,50.8,41.4,62
April 26_MV80_004.fcs,Male,Vehicle,53.6,47.6,47.4,56.5,59.9,53.9,66.9,45.3,62.8
April 23_MA81_005.fcs,Male,PFOA 0.166,65.9,40.1,39.3,39.3,46.3,66.4,64.1,45,38.5
April 23_MA82_006.fcs,Male,PFOA 0.166,54.2,70.6,67.7,73.7,60.9,63.5,75.8,63,57.5
April 24_MA83_005.fcs,Male,PFOA 0.166,72.9,82.3,100.5,57,54.2,86.7,58.1,39.1,77.9
April 24_MA84_006.fcs,Male,PFOA 0.166,57.8,58.8,64.3,59.6,66.7,56.2,67.2,56.2,56.2
April 25_MA86_005.fcs,Male,PFOA 0.166,38.5,46.9,49.7,48.7,57.5,55.7,60.4,34.6,#VALUE!
April 26_MA87_005.fcs,Male,PFOA 0.166,53.9,52.3,55.2,51.6,57,50.5,63,51.6,56
April 26_MA88_006.fcs,Male,PFOA 0.166,47.6,51.8,54.2,47.6,55.7,52.6,56.2,45.6,64.1
April 26_MA88_006.fcs,Male,PFOA 0.166,45.3,46.1,44,55.2,55.7,47.9,54.7,44,69.3
April 23_MA89_007.fcs,Male,PFOA 0.5,41.9,37.8,48.2,37.8,47.9,65.6,72.1,54.4,50.3
April 23_MA90_008.fcs,Male,PFOA 0.5,51,#VALUE!,58.3,51.6,55.5,50.8,73.2,51.3,42.4
April 24_MA91_007.fcs,Male,PFOA 0.5,60.1,54.7,71.9,45.8,46.1,71.1,82,39.3,54.2
April 24_MA92_008.fcs,Male,PFOA 0.5,41.9,50.5,54.4,55.5,56.5,51,64.3,44.5,42.4
April 25_MA93_006.fcs,Male,PFOA 0.5,56.5,55.2,62.8,56.5,61.4,59.1,71.6,52.6,76
April 25_MA94_007.fcs,Male,PFOA 0.5,40.1,45.8,45.8,42.7,44.3,50,50.3,39.1,52.9
April 26_MA95_007.fcs,Male,PFOA 0.5,66.7,58.8,80.7,65.9,62.2,71.1,69.3,49.7,76.6
April 26_MA96_008.fcs,Male,PFOA 0.5,47.4,49.2,51.3,51.3,48.7,46.9,59.6,41.4,55.5
April 23_MA97_009.fcs,Male,PFOA 1,47.4,54.2,56.2,50,56,59.4,67.2,46.6,39.3
April 23_MA98_010.fcs,Male,PFOA 1,14.1,52.3,49,45.3,45.3,50.5,55.7,37.2,38
April 23_MA99_010.fcs,Male,PFOA 1,60.1,58.3,56.5,48.2,50,46.9,67.7,49.5,#VALUE!
April 24_MA100_009.fcs,Male,PFOA 1,51.8,56.8,59.1,57,61.2,62,66.4,50.8,52.3
April 25_MA101_008.fcs,Male,PFOA 1,56.5,59.1,67.4,60.1,59.9,83.6,72.4,58.6,60.4
April 25_MA102_009.fcs,Male,PFOA 1,50.3,53.1,50.8,60.9,57,56.8,69,44.3,60.1
April 26_MA103_009.fcs,Male,PFOA 1,43,50.3,52.9,52.9,50.5,50.5,54.2,39.3,55.5
April 26_MA104_010.fcs,Male,PFOA 1,47.6,57.5,63.5,56.8,54.7,56,59.6,43.5,59.4
April 23_MA105_011.fcs,Male,PFOA 1.5,56.2,45,54.9,48.2,92.2,49.5,94.3,40.6,39.6
April 23_MA106_012.fcs,Male,PFOA 1.5,54.4,50.5,52.3,50.5,#VALUE!,57.5,59.6,21.1,41.1
April 23_MA107_012.fcs,Male,PFOA 1.5,59.1,63,86.4,75.8,79.7,65.6,62,44.8,#VALUE!
April 24_MA108_010.fcs,Male,PFOA 1.5,40.4,45.8,38.3,36.2,38,33.8,44.3,47.6,37
April 25_MA109_010.fcs,Male,PFOA 1.5,54.2,72.1,63.3,64.6,56.8,69,66.4,53.4,63
April 25_MA110_011.fcs,Male,PFOA 1.5,49.5,56.5,64.1,57.5,69,57.8,80.7,53.1,64.3
April 26_MA111_011.fcs,Male,PFOA 1.5,56.5,61.4,56.2,59.9,62.5,57.8,71.9,53.4,72.9
April 26_MA112_012.fcs,Male,PFOA 1.5,52.3,47.6,50,49.2,55.5,51.6,56.8,39.3,61.4
April 23_MS113_013.fcs,Male,PFOS 0.166,49.7,45.3,49.7,47.4,48.7,44.5,58.6,38.5,34.1
April 23_MS114_014.fcs,Male,PFOS 0.166,48.2,,43,47.9,53.6,44.8,46.9,40.1,40.6
April 24_MS115_011.fcs,Male,PFOS 0.166,60.9,62,46.6,52.3,52.1,52.6,62,50,54.4
April 24_MS116_012.fcs,Male,PFOS 0.166,51,50.3,50.3,52.9,56,56,59.1,44.3,52.1
April 25_MS117_012.fcs,Male,PFOS 0.166,39.6,51.8,52.1,46.3,51,49,52.9,34.9,48.7
April 25_MS118_013.fcs,Male,PFOS 0.166,45,42.7,55.7,62.8,46.9,41.1,72.4,55.7,66.9
April 26_MS119_013.fcs,Male,PFOS 0.166,46.3,53.9,41.4,45.6,50.5,55.5,56,37.2,51.6
April 26_MS120_014.fcs,Male,PFOS 0.166,49.5,58.6,62.8,58.8,55.5,59.6,65.6,42.4,68
